"Age";"AGE DATE (AS OF DATE)";"Aliases";"ALTERNATIVE SPELLING";"Category";"Companies";"Countries";"Deceased";"DOB";"E/I";"Editor";"Entered";"Updated";"EXTERNAL SOURCES";"Further Information";"SSN";"Passports";"IDENTIFICATION NUMBERS";"Keywords";"Linked To";"Locations";"First Name";"Last Name";"PLACE OF BIRTH";"Position";"Sub-Category";"Title";"UID"
"65";"2026/09/20";"J. Fernández;Juan Fernández Test";"Juan Fernandez";"PEP";"Mock Company 2;Demo Holdings 2";"Argentina";"";"1961-01-01";"I";"MOCK_GENERATOR";"2026/08/02";"2026/09/02";"MockSourceA;MockSourceB";"Fictitious mock record 1 for Smart Lists testing only";"99000000001";"MOCKP000001";"MOCKID0000001";"mock;test;pep";"";"Buenos Aires;Argentina";"Juan";"Fernández";"Buenos Aires";"Public Official";"Politically Exposed Person";"Mr";"1"
"64";"2026/09/20";"M. García;María García Test";"Maria Garcia";"SANCTION";"Mock Company 3;Demo Holdings 3";"Uruguay";"";"1962-02-02";"I";"MOCK_GENERATOR";"2026/08/03";"2026/09/03";"MockSourceA;MockSourceB";"Fictitious mock record 2 for Smart Lists testing only";"99000000002";"MOCKP000002";"MOCKID0000002";"mock;test;sanction";"";"Córdoba;Uruguay";"María";"García";"Córdoba";"Business Executive";"Sanctions";"Ms";"2"
"63";"2026/09/20";"C. Torres;Carlos Torres Test";"Carlos Torres";"RISK";"Mock Company 4;Demo Holdings 4";"Paraguay";"";"1963-03-03";"I";"MOCK_GENERATOR";"2026/08/04";"2026/09/04";"MockSourceA;MockSourceB";"Fictitious mock record 3 for Smart Lists testing only";"99000000003";"MOCKP000003";"MOCKID0000003";"mock;test;risk";"";"Rosario;Paraguay";"Carlos";"Torres";"Rosario";"Government Advisor";"High Risk Individual";"Dr";"3"
"62";"2026/09/20";"A. Ruiz;Ana Ruiz Test";"Ana Ruiz";"WATCHLIST";"Mock Company 5;Demo Holdings 5";"Chile";"";"1964-04-04";"I";"MOCK_GENERATOR";"2026/08/05";"2026/09/05";"MockSourceA;MockSourceB";"Fictitious mock record 4 for Smart Lists testing only";"99000000004";"MOCKP000004";"MOCKID0000004";"mock;test;watchlist";"";"Mendoza;Chile";"Ana";"Ruiz";"Mendoza";"Former Official";"Watchlist";"Lic";"4"
"61";"2026/09/20";"L. Castro;Luis Castro Test";"Luis Castro";"PEP";"Mock Company 6;Demo Holdings 6";"Brazil";"";"1965-05-05";"I";"MOCK_GENERATOR";"2026/08/06";"2026/09/06";"MockSourceA;MockSourceB";"Fictitious mock record 5 for Smart Lists testing only";"99000000005";"MOCKP000005";"MOCKID0000005";"mock;test;pep";"4";"La Plata;Brazil";"Luis";"Castro";"La Plata";"Private Individual";"Politically Exposed Person";"Ing";"5"
"60";"2026/09/20";"S. Silva;Sofía Silva Test";"Sofia Silva";"SANCTION";"Mock Company 7;Demo Holdings 7";"Peru";"";"1966-06-06";"I";"MOCK_GENERATOR";"2026/08/07";"2026/09/07";"MockSourceA;MockSourceB";"Fictitious mock record 6 for Smart Lists testing only";"99000000006";"MOCKP000006";"MOCKID0000006";"mock;test;sanction";"";"Montevideo;Peru";"Sofía";"Silva";"Montevideo";"Public Official";"Sanctions";"Mr";"6"
"59";"2026/09/20";"D. Gómez;Diego Gómez Test";"Diego Gomez";"RISK";"Mock Company 8;Demo Holdings 1";"Argentina";"";"1967-07-07";"I";"MOCK_GENERATOR";"2026/08/08";"2026/09/08";"MockSourceA;MockSourceB";"Fictitious mock record 7 for Smart Lists testing only";"99000000007";"MOCKP000007";"MOCKID0000007";"mock;test;risk";"";"Asunción;Argentina";"Diego";"Gómez";"Asunción";"Business Executive";"High Risk Individual";"Ms";"7"
"58";"2026/09/20";"L. López;Laura López Test";"Laura Lopez";"WATCHLIST";"Mock Company 9;Demo Holdings 2";"Uruguay";"";"1968-08-08";"I";"MOCK_GENERATOR";"2026/08/09";"2026/09/09";"MockSourceA;MockSourceB";"Fictitious mock record 8 for Smart Lists testing only";"99000000008";"MOCKP000008";"MOCKID0000008";"mock;test;watchlist";"";"Santiago;Uruguay";"Laura";"López";"Santiago";"Government Advisor";"Watchlist";"Dr";"8"
"57";"2026/09/20";"M. Sánchez;Martín Sánchez Test";"Martin Sanchez";"PEP";"Mock Company 10;Demo Holdings 3";"Paraguay";"";"1969-09-09";"I";"MOCK_GENERATOR";"2026/08/10";"2026/09/10";"MockSourceA;MockSourceB";"Fictitious mock record 9 for Smart Lists testing only";"99000000009";"MOCKP000009";"MOCKID0000009";"mock;test;pep";"";"Lima;Paraguay";"Martín";"Sánchez";"Lima";"Former Official";"Politically Exposed Person";"Lic";"9"
"56";"2026/09/20";"V. Álvarez;Valentina Álvarez Test";"Valentina Alvarez";"SANCTION";"Mock Company 1;Demo Holdings 4";"Chile";"";"1970-10-10";"I";"MOCK_GENERATOR";"2026/08/11";"2026/09/11";"MockSourceA;MockSourceB";"Fictitious mock record 10 for Smart Lists testing only";"99000000010";"MOCKP000010";"MOCKID0000010";"mock;test;sanction";"9";"São Paulo;Chile";"Valentina";"Álvarez";"São Paulo";"Private Individual";"Sanctions";"Ing";"10"
